name,category,coordenadas,num_of_reviews,business_id,city,state,stars,review_count
Jump Star bungee trampoline,Recreation center,"40.1159439, -75.2819933",38,6dk0z0DsNAMgqLLuKusNaA,Plymouth Meeting,NJ,4.0,10
Jump Star bungee trampoline,Recreation center,"40.1159439, -75.2819933",38,x3TkjPHyJLe2F2o-5U8kVA,PLYMOUTH MTNG,PA,3.5,11
Jump Star bungee trampoline,Recreation center,"40.1159439, -75.2819933",38,y9a_rTGfu7AGf_df1Lfdtg,Plymouth Meeting,TN,3.0,6
The Hookah,Night club,"29.9539883, -90.065692",6,Ok5XP4P33_6qNo5uMO3vxQ,New Orleans,IN,5.0,26
The Hookah,Night club,"29.9539883, -90.065692",6,ZEy6EnNdkgcE-35Jf2SUog,New Orleans,PA,4.0,24
The Hookah,Night club,"29.9539883, -90.065692",6,Ok5XP4P33_6qNo5uMO3vxQ,New Orleans,IN,5.0,26
The Hookah,Night club,"29.9539883, -90.065692",6,ZEy6EnNdkgcE-35Jf2SUog,New Orleans,PA,4.0,24
ARTmazing Selfie Gallery,Technology museum,"29.9539883, -90.065692",28,Ok5XP4P33_6qNo5uMO3vxQ,New Orleans,IN,5.0,26
ARTmazing Selfie Gallery,Technology museum,"29.9539883, -90.065692",28,ZEy6EnNdkgcE-35Jf2SUog,New Orleans,PA,4.0,24
ARTmazing Selfie Gallery,Art gallery,"29.9539883, -90.065692",28,Ok5XP4P33_6qNo5uMO3vxQ,New Orleans,IN,5.0,26
ARTmazing Selfie Gallery,Art gallery,"29.9539883, -90.065692",28,ZEy6EnNdkgcE-35Jf2SUog,New Orleans,PA,4.0,24
ARTmazing Selfie Gallery,Art museum,"29.9539883, -90.065692",28,Ok5XP4P33_6qNo5uMO3vxQ,New Orleans,IN,5.0,26
ARTmazing Selfie Gallery,Art museum,"29.9539883, -90.065692",28,ZEy6EnNdkgcE-35Jf2SUog,New Orleans,PA,4.0,24
ARTmazing Selfie Gallery,Museum,"29.9539883, -90.065692",28,Ok5XP4P33_6qNo5uMO3vxQ,New Orleans,IN,5.0,26
ARTmazing Selfie Gallery,Museum,"29.9539883, -90.065692",28,ZEy6EnNdkgcE-35Jf2SUog,New Orleans,PA,4.0,24
iLoveKickboxing - Oldsmar,Fitness center,"28.0426275, -82.6764012",85,6bP0RhASi3WQuObr-FmTFw,Tampa Bay,AZ,4.5,5
iLoveKickboxing - Oldsmar,Fitness center,"28.0426275, -82.6764012",85,jVkySanuO3FqcADIM09iBg,Oldsmar,PA,4.0,14
Anchor Yacht Charters & Boat Rentals,Marina,"27.9387237, -82.4548811",73,_0QZGrg91aaiMhh7tQyYYg,Tampa,AZ,3.5,1115
Technology Interiors,Home theater store,"39.9559692, -86.01061",213,ElWryU9pTG-YdF7EzeMtCw,Fishers,MO,4.5,7
Technology Interiors,Home theater store,"39.9559692, -86.01061",213,ElWryU9pTG-YdF7EzeMtCw,Fishers,MO,4.5,7
A Nail Spa,Facial spa,"32.4019504, -110.9562054",28,kz1y_1ToM0m4hyQE5p0Uqw,Oro Valley,PA,4.0,75
A Nail Spa,Spa,"32.4019504, -110.9562054",28,kz1y_1ToM0m4hyQE5p0Uqw,Oro Valley,PA,4.0,75
Tucson Strength,Fitness center,"32.2352695, -110.8612506",148,doLt-mki5AEA6L5TlsTe6w,Tucson,MO,4.5,31
Big Head Cartoon Caricature Art & Entertainment,Entertainment agency,"36.0338575, -86.7753948",65,2zC8LUOSm0ccPuq4rdS1qA,Brentwood,ID,2.0,15
Howl at the Moon St. Louis,Night club,"38.6236723, -90.1916746",33,DVub5FvGoi12BnW4uq8yRA,St. Louis,FL,2.5,7
AAA Missouri,Travel agency,"38.683004, -90.4798403",8,d77kG7PTMT0aUDXEz1AvcQ,Creve Coeur,PA,3.5,27
AAA Missouri,Travel agency,"38.683004, -90.4798403",8,NnI_NBl_jO6lIvl7XO9VYA,Saint Louis,FL,4.5,28
The Blacklist Gallery,Art gallery,"27.9600238, -82.4444005",5,dIpTuL2T1L98GQGU17IeSw,Tampa,NV,4.0,548
The Blacklist Gallery,Sculpture museum,"27.9600238, -82.4444005",5,dIpTuL2T1L98GQGU17IeSw,Tampa,NV,4.0,548
Power Spa Studio,Spa,"28.0927487, -82.7708141",5,qHpG3FEJpQFlt2V_Ys8hhA,Palm Harbor,LA,4.5,22
Power Spa Studio,Spa,"28.0927487, -82.7708141",5,lmWdioopJos4HtOs5ZnnkA,Palm Harbor,IN,5.0,13
Power Spa Studio,Spa,"28.0927487, -82.7708141",5,vqPzlmpDxUPhJ-wadItpIw,Palm Harbor,IN,5.0,17
Gambhir Cosmetic Medicine,Medical spa,"40.0965867, -75.3929067",346,fWgIXFw7VywMNXAJ6ZLzzQ,King of Prussia,PA,4.0,7
Gambhir Cosmetic Medicine,Medical spa,"40.0965867, -75.3929067",346,R-Ln6qBbl69kuJfpXnU4KQ,King of Prussia,ID,1.0,6
Gambhir Cosmetic Medicine,Medical spa,"40.0965867, -75.3929067",346,ZfFx0hBGZqE5pz5MTQfJ-w,King Of Prussia,IN,2.0,16
Gambhir Cosmetic Medicine,Medical spa,"40.0965867, -75.3929067",346,aUKzbifNzmL4T4bNghGFqQ,King of Prussia,IN,1.5,7
Gambhir Cosmetic Medicine,Medical spa,"40.0965867, -75.3929067",346,J2gmVY-OG3tvdxPA2FBbzw,King of Prussia,AZ,4.5,11
"Maria Garcia Cardona, MD",Facial spa,"27.8715848, -82.7530075",8,UXqjaZXdAMGOV4ynzPC8fw,Largo,LA,2.5,5
"Maria Garcia Cardona, MD",Medical spa,"27.8715848, -82.7530075",8,UXqjaZXdAMGOV4ynzPC8fw,Largo,LA,2.5,5
Philly Apartments,Apartment rental agency,"39.9481867, -75.1692901",2,hTUSv9wNM1XQXW2b3NEwFA,Philadelphia,NV,2.0,24
Philly Apartments,Apartment rental agency,"39.9481867, -75.1692901",2,HV5W4i7iXWjLPxAvxPUHrg,Philadelphia,PA,5.0,9
Philly Apartments,Apartment rental agency,"39.9481867, -75.1692901",2,xmoQxKSelwLYjDAs3nND0g,Philadelphia,ID,4.5,33
Philly Apartments,Apartment rental agency,"39.9481867, -75.1692901",2,mXs8s6TRlzm0yADf9s8Gyg,Philadelphia,LA,5.0,16
Philly Apartments,Apartment rental agency,"39.9481867, -75.1692901",2,hE8DF4hPIF4T2NiQepj6ig,Philadelphia,MO,5.0,5
Philly Apartments,Apartment rental agency,"39.9481867, -75.1692901",2,9hAQD5rq0PCqhq4RVqgI6Q,Philadelphia,AZ,4.0,11
The Derm Bar STL,Health spa,"38.674438, -90.409941",8,DPmmRVpamhfpyV-K3lMwCg,St. Louis,PA,5.0,6
The Derm Bar STL,Health spa,"38.674438, -90.409941",8,GlrIiN9NUVCy4sRhbh3ajA,Creve Coeur,TN,3.5,50
The Derm Bar STL,Facial spa,"38.674438, -90.409941",8,DPmmRVpamhfpyV-K3lMwCg,St. Louis,PA,5.0,6
The Derm Bar STL,Facial spa,"38.674438, -90.409941",8,GlrIiN9NUVCy4sRhbh3ajA,Creve Coeur,TN,3.5,50
The Derm Bar STL,Medical spa,"38.674438, -90.409941",8,DPmmRVpamhfpyV-K3lMwCg,St. Louis,PA,5.0,6
The Derm Bar STL,Medical spa,"38.674438, -90.409941",8,GlrIiN9NUVCy4sRhbh3ajA,Creve Coeur,TN,3.5,50
CV Art and Frame,Art gallery,"39.9505444, -86.2619259",18,8cZY-I1RYRXH7fQA_g97CQ,Zionsville,PA,5.0,6
TGM Shadeland Station Apartments,Apartment complex,"39.885224, -86.03963",18,pTy5sLUejtfNVMSw--L3oA,Indianapolis,AB,5.0,8
TGM Shadeland Station Apartments,Apartment building,"39.885224, -86.03963",18,pTy5sLUejtfNVMSw--L3oA,Indianapolis,AB,5.0,8
Fresh Faced Skin Care,Day spa,"39.777723, -75.5957107",18,FUYHvfzx9KAHCzcDmhm6zA,Greenville,NJ,3.5,5
Fresh Faced Skin Care,Day spa,"39.777723, -75.5957107",18,34syuA5NVzrwTAFNJAQx-g,Wilmington,PA,2.0,5
Fresh Faced Skin Care,Facial spa,"39.777723, -75.5957107",18,FUYHvfzx9KAHCzcDmhm6zA,Greenville,NJ,3.5,5
Fresh Faced Skin Care,Facial spa,"39.777723, -75.5957107",18,34syuA5NVzrwTAFNJAQx-g,Wilmington,PA,2.0,5
Betty and Milton Katz Jewish Community Center,Fitness center,"39.8823539, -74.968004",36,qBztFlEs5OGJhcLAwlB8ug,Cherry Hill,MO,3.5,10
ASAP tickets,Travel agency,"39.7472764, -75.5501414",4,6FbUQMDYlqyEsItJ50DDag,Wilmington,FL,1.0,74
ASAP tickets,Travel agency,"39.7472764, -75.5501414",4,9OaR7LeglnFUmpYySZS06g,Wilmington,NV,1.5,9
"Phresh Clean Services & Management, LLC",Fitness center,"29.9488746, -90.0701146",18,8pjPY4HbBO7Zuo1LjIO0iA,New Orleans,PA,4.5,6
"Phresh Clean Services & Management, LLC",Fitness center,"29.9488746, -90.0701146",18,NlhEXGsDDpMdqZ6APCs8_w,New Orleans,FL,5.0,38
"Phresh Clean Services & Management, LLC",Short term apartment rental agency,"29.9488746, -90.0701146",18,8pjPY4HbBO7Zuo1LjIO0iA,New Orleans,PA,4.5,6
"Phresh Clean Services & Management, LLC",Short term apartment rental agency,"29.9488746, -90.0701146",18,NlhEXGsDDpMdqZ6APCs8_w,New Orleans,FL,5.0,38
"Phresh Clean Services & Management, LLC",Vacation home rental agency,"29.9488746, -90.0701146",18,8pjPY4HbBO7Zuo1LjIO0iA,New Orleans,PA,4.5,6
"Phresh Clean Services & Management, LLC",Vacation home rental agency,"29.9488746, -90.0701146",18,NlhEXGsDDpMdqZ6APCs8_w,New Orleans,FL,5.0,38
Poydras Center,Apartment complex,"29.9488746, -90.0701146",8,8pjPY4HbBO7Zuo1LjIO0iA,New Orleans,PA,4.5,6
Poydras Center,Apartment complex,"29.9488746, -90.0701146",8,NlhEXGsDDpMdqZ6APCs8_w,New Orleans,FL,5.0,38
Care Massage,Day spa,"27.9461335, -82.504187",193,L4MD197SU2J0VgXJ-sxPBg,Tampa,LA,4.5,5
Care Massage,Massage spa,"27.9461335, -82.504187",193,L4MD197SU2J0VgXJ-sxPBg,Tampa,LA,4.5,5
Lavish Skin & Body Studio,Day spa,"27.9461335, -82.504187",35,L4MD197SU2J0VgXJ-sxPBg,Tampa,LA,4.5,5
Lord Chaz Tours,Tour agency,"29.958867, -90.0652891",17,036_95rJbB7PvCHfkCL6Nw,New Orleans,MO,3.0,199
Lord Chaz Tours,Sightseeing tour agency,"29.958867, -90.0652891",17,036_95rJbB7PvCHfkCL6Nw,New Orleans,MO,3.0,199
Lord Chaz Tours,Tourist information center,"29.958867, -90.0652891",17,036_95rJbB7PvCHfkCL6Nw,New Orleans,MO,3.0,199
Public Parking at Indiana Design Center,Parking garage,"39.9767889, -86.1275496",3,vROChamOxcbYNfaBXs-TjA,Carmel,PA,4.0,5
Public Parking at Indiana Design Center,Parking garage,"39.9767889, -86.1275496",3,oNO7vX7PWORgfO_JYio88Q,Carmel,NJ,3.5,13
Public Parking at Indiana Design Center,Parking garage,"39.9767889, -86.1275496",3,DOPwcKT2IKdK6ojoXKEUyA,Carmel,PA,3.5,9
Public Parking at Indiana Design Center,Parking garage,"39.9767889, -86.1275496",3,nYuZU28ZVe32WQZE8V50_Q,Carmel,NV,5.0,5
Cruisin' Tikis Clearwater,Boat tour agency,"27.976757, -82.826572",168,uaehXCGq5iDdTK-fGMl3Jw,Clearwater,IN,4.5,112
Cruisin' Tikis Clearwater,Boat tour agency,"27.976757, -82.826572",168,zWilCoi_idXD7Xn0RMwZVA,Clearwater,FL,4.0,11
Cruisin' Tikis Clearwater,Boat tour agency,"27.976757, -82.826572",168,VmEtsj4vKfu1gH-_B1SAoA,Clearwater Beach,AZ,4.0,18
Cruisin' Tikis Clearwater,Boat tour agency,"27.976757, -82.826572",168,7D4C4PO6je_Bb87FKb7Irg,Clearwater Beach,PA,3.0,7
Cruisin' Tikis Clearwater,Boat tour agency,"27.976757, -82.826572",168,m3YaaSd7UFH7f0skHO2ISg,Clearwater,NJ,3.5,111
Cruisin' Tikis Clearwater,Boat tour agency,"27.976757, -82.826572",168,Z1r9g6I0YtgW7wG08I32zw,Clearwater,LA,4.0,54
Cruisin' Tikis Clearwater,Boat tour agency,"27.976757, -82.826572",168,-AgYybTLhispcYcoIV7E9A,Clearwater Beach,PA,3.0,93
Cruisin' Tikis Clearwater,Boat tour agency,"27.976757, -82.826572",168,EXTusNfg1WNtIk-r3XlD-Q,Clearwater,FL,4.5,33
Cruisin' Tikis Clearwater,Boat tour agency,"27.976757, -82.826572",168,BIEM8P_sLVauQQNfHArL7Q,Clearwater Beach,PA,4.0,5
Cruisin' Tikis Clearwater,Boat tour agency,"27.976757, -82.826572",168,4_-EWwIZ0oCtjCzTEGMNAQ,Clearwater Beach,PA,4.0,447
Schooner Clearwater,Boat tour agency,"27.976757, -82.826572",118,uaehXCGq5iDdTK-fGMl3Jw,Clearwater,IN,4.5,112
Schooner Clearwater,Boat tour agency,"27.976757, -82.826572",118,zWilCoi_idXD7Xn0RMwZVA,Clearwater,FL,4.0,11
Schooner Clearwater,Boat tour agency,"27.976757, -82.826572",118,VmEtsj4vKfu1gH-_B1SAoA,Clearwater Beach,AZ,4.0,18
Schooner Clearwater,Boat tour agency,"27.976757, -82.826572",118,7D4C4PO6je_Bb87FKb7Irg,Clearwater Beach,PA,3.0,7
Schooner Clearwater,Boat tour agency,"27.976757, -82.826572",118,m3YaaSd7UFH7f0skHO2ISg,Clearwater,NJ,3.5,111
Schooner Clearwater,Boat tour agency,"27.976757, -82.826572",118,Z1r9g6I0YtgW7wG08I32zw,Clearwater,LA,4.0,54
Schooner Clearwater,Boat tour agency,"27.976757, -82.826572",118,-AgYybTLhispcYcoIV7E9A,Clearwater Beach,PA,3.0,93
Schooner Clearwater,Boat tour agency,"27.976757, -82.826572",118,EXTusNfg1WNtIk-r3XlD-Q,Clearwater,FL,4.5,33
Schooner Clearwater,Boat tour agency,"27.976757, -82.826572",118,BIEM8P_sLVauQQNfHArL7Q,Clearwater Beach,PA,4.0,5
Schooner Clearwater,Boat tour agency,"27.976757, -82.826572",118,4_-EWwIZ0oCtjCzTEGMNAQ,Clearwater Beach,PA,4.0,447
Fun Boats Adventures,Boat tour agency,"27.976757, -82.826572",28,uaehXCGq5iDdTK-fGMl3Jw,Clearwater,IN,4.5,112
Fun Boats Adventures,Boat tour agency,"27.976757, -82.826572",28,zWilCoi_idXD7Xn0RMwZVA,Clearwater,FL,4.0,11
Fun Boats Adventures,Boat tour agency,"27.976757, -82.826572",28,VmEtsj4vKfu1gH-_B1SAoA,Clearwater Beach,AZ,4.0,18
Fun Boats Adventures,Boat tour agency,"27.976757, -82.826572",28,7D4C4PO6je_Bb87FKb7Irg,Clearwater Beach,PA,3.0,7
Fun Boats Adventures,Boat tour agency,"27.976757, -82.826572",28,m3YaaSd7UFH7f0skHO2ISg,Clearwater,NJ,3.5,111
Fun Boats Adventures,Boat tour agency,"27.976757, -82.826572",28,Z1r9g6I0YtgW7wG08I32zw,Clearwater,LA,4.0,54
Fun Boats Adventures,Boat tour agency,"27.976757, -82.826572",28,-AgYybTLhispcYcoIV7E9A,Clearwater Beach,PA,3.0,93
Fun Boats Adventures,Boat tour agency,"27.976757, -82.826572",28,EXTusNfg1WNtIk-r3XlD-Q,Clearwater,FL,4.5,33
Fun Boats Adventures,Boat tour agency,"27.976757, -82.826572",28,BIEM8P_sLVauQQNfHArL7Q,Clearwater Beach,PA,4.0,5
Fun Boats Adventures,Boat tour agency,"27.976757, -82.826572",28,4_-EWwIZ0oCtjCzTEGMNAQ,Clearwater Beach,PA,4.0,447
Fun Boats Adventures,Beach entertainment shop,"27.976757, -82.826572",28,uaehXCGq5iDdTK-fGMl3Jw,Clearwater,IN,4.5,112
Fun Boats Adventures,Beach entertainment shop,"27.976757, -82.826572",28,zWilCoi_idXD7Xn0RMwZVA,Clearwater,FL,4.0,11
Fun Boats Adventures,Beach entertainment shop,"27.976757, -82.826572",28,VmEtsj4vKfu1gH-_B1SAoA,Clearwater Beach,AZ,4.0,18
Fun Boats Adventures,Beach entertainment shop,"27.976757, -82.826572",28,7D4C4PO6je_Bb87FKb7Irg,Clearwater Beach,PA,3.0,7
Fun Boats Adventures,Beach entertainment shop,"27.976757, -82.826572",28,m3YaaSd7UFH7f0skHO2ISg,Clearwater,NJ,3.5,111
Fun Boats Adventures,Beach entertainment shop,"27.976757, -82.826572",28,Z1r9g6I0YtgW7wG08I32zw,Clearwater,LA,4.0,54
Fun Boats Adventures,Beach entertainment shop,"27.976757, -82.826572",28,-AgYybTLhispcYcoIV7E9A,Clearwater Beach,PA,3.0,93
Fun Boats Adventures,Beach entertainment shop,"27.976757, -82.826572",28,EXTusNfg1WNtIk-r3XlD-Q,Clearwater,FL,4.5,33
Fun Boats Adventures,Beach entertainment shop,"27.976757, -82.826572",28,BIEM8P_sLVauQQNfHArL7Q,Clearwater Beach,PA,4.0,5
Fun Boats Adventures,Beach entertainment shop,"27.976757, -82.826572",28,4_-EWwIZ0oCtjCzTEGMNAQ,Clearwater Beach,PA,4.0,447
Luis Sottil Studios,Art gallery,"27.7767977, -82.6320532",5,BP45519s4sCMSxB1X11F4g,St. Petersburg,TN,4.5,15
COCA — Center of Creative Arts,Art gallery,"38.6548567, -90.3109318",38,r6NqjOFKUoYZdRxNBbQEwA,St. Louis,PA,4.5,8
COCA — Center of Creative Arts,Performing arts theater,"38.6548567, -90.3109318",38,r6NqjOFKUoYZdRxNBbQEwA,St. Louis,PA,4.5,8
Einstein Vascular Surgery,Medical Center,"40.1188664, -75.2873244",5,GkGvbq1e5vYnsMb-G3nPIQ,Plymouth Meeting,TN,1.5,6
Einstein Vascular Surgery,Medical Center,"40.1188664, -75.2873244",5,d9qR48edgv9ZOknG_PIp1A,Plymouth Meeting,FL,2.5,6
MossRehab at Plymouth Meeting,Medical Center,"40.1188664, -75.2873244",3,GkGvbq1e5vYnsMb-G3nPIQ,Plymouth Meeting,TN,1.5,6
MossRehab at Plymouth Meeting,Medical Center,"40.1188664, -75.2873244",3,d9qR48edgv9ZOknG_PIp1A,Plymouth Meeting,FL,2.5,6
Conservatory Garden Gallery,Art gallery,"38.7739921, -90.4853173",4,4cELuURJH2y07DnnrPzpWw,Saint Charles,PA,5.0,11
Ideal Image Willow Grove,Medical spa,"40.1433467, -75.1215405",304,c9ITEGU7YMuvtJoQy8xV7w,Willow Grove,PA,3.0,19
Surreal Virtual Reality Studio,Amusement center,"34.4168731, -119.6951394",24,Qu2boQf_Ay0yf1_NHtAC7w,Santa Barbara,PA,1.0,5
Surreal Virtual Reality Studio,Escape room center,"34.4168731, -119.6951394",24,Qu2boQf_Ay0yf1_NHtAC7w,Santa Barbara,PA,1.0,5
Passport Health Reno Travel Clinic,Travel clinic,"39.5253776, -119.7987625",24,95GDU9Ptb7e53487cFv8Fw,Reno,IN,2.0,17
Eternity Med Spa,Medical spa,"38.6737016, -90.4557271",64,dZ3JSPYQdvrXIMzZxXffUg,Creve Coeur,PA,4.5,20
Acacia Partners,Condominium rental agency,"32.251078, -110.833803",28,mKokX5m1drdaqu04g5nmHg,Tucson,PA,3.5,16
Essential Beauty,Facial spa,"39.5164024, -119.812075",15,saMVgsWXTFODd53Gm6Mjrg,Reno,FL,5.0,7
Wellness Origin Spa,Spa,"39.9633599, -86.1146381",36,cZs77_NDbUVFvSVzH_2Vyg,Carmel,FL,4.0,22
Wellness Origin Spa,Health spa,"39.9633599, -86.1146381",36,cZs77_NDbUVFvSVzH_2Vyg,Carmel,FL,4.0,22
Wellness Origin Spa,Massage spa,"39.9633599, -86.1146381",36,cZs77_NDbUVFvSVzH_2Vyg,Carmel,FL,4.0,22
Enhance IV,Medical spa,"40.0124652, -75.2137202",7,zc01CN9242SblCkVheyfVg,Bala Cynwyd,PA,4.0,16
Enhance IV,Medical spa,"40.0124652, -75.2137202",7,d1aOjESOwtJENPmvC7UtEQ,Bala Cynwyd,PA,3.5,25
Flip Flop St.Pete Beach -- Henna Tattoo,Beach clothing store,"27.7382419, -82.7486267",28,WUuZDppPp4FCe6gSTBr6Zw,St. Pete Beach,IN,4.0,30
Salon LDJ,Spa,"36.387777, -87.014732",28,hAyvguwIsZUnRK7pw-7kiw,Pleasant View,IN,4.0,5
Cuticle Corner,Day spa,"40.0683877, -75.4468933",28,Z91wV9Sszjnf2Ygs9ddviA,Berwyn,AZ,4.0,51
European Wax Center,Spa,"38.653904, -90.3519459",98,QBr5lv1G-017qXzX0lBiOg,Saint Louis,ID,2.5,71
U-Haul Neighborhood Dealer,Truck rental agency,"39.6344705, -86.1569734",18,dMhslmjZ0dJov0sMCxf39Q,Greenwood,DE,3.5,54
U-Haul Neighborhood Dealer,Truck rental agency,"39.6344705, -86.1569734",18,XCEO3zlDSKJvemP5LNwWsQ,Greenwood,PA,4.0,17
U-Haul Neighborhood Dealer,Truck rental agency,"39.6344705, -86.1569734",18,Pc5JevqgVp2Qp0CMEK1rKg,Greenwood,PA,4.0,5
U-Haul Neighborhood Dealer,Van rental agency,"39.6344705, -86.1569734",18,dMhslmjZ0dJov0sMCxf39Q,Greenwood,DE,3.5,54
U-Haul Neighborhood Dealer,Van rental agency,"39.6344705, -86.1569734",18,XCEO3zlDSKJvemP5LNwWsQ,Greenwood,PA,4.0,17
U-Haul Neighborhood Dealer,Van rental agency,"39.6344705, -86.1569734",18,Pc5JevqgVp2Qp0CMEK1rKg,Greenwood,PA,4.0,5
Heather Brown Face and Body Studio,Spa,"39.9567995, -86.1431384",8,sRXc2zKjkCP_-TZU3ijMtw,Carmel,IN,4.5,13
Heather Brown Face and Body Studio,Day spa,"39.9567995, -86.1431384",8,sRXc2zKjkCP_-TZU3ijMtw,Carmel,IN,4.5,13
Heather Brown Face and Body Studio,Facial spa,"39.9567995, -86.1431384",8,sRXc2zKjkCP_-TZU3ijMtw,Carmel,IN,4.5,13
Heather Brown Face and Body Studio,Medical spa,"39.9567995, -86.1431384",8,sRXc2zKjkCP_-TZU3ijMtw,Carmel,IN,4.5,13
Novel Riverwalk Garage,Parking garage,"27.9539935, -82.4629212",1,nAY04og6UDsS2ZXK15RDVA,Tampa,PA,2.5,13
Venus Luxury Spa,Medical spa,"36.1092594, -86.8148556",114,Dy0tKkfoTVdFHblrvUob6g,Nashville,AZ,3.0,22
Venus Luxury Spa,Medical spa,"36.1092594, -86.8148556",114,7QI5LCDQSJDEesJhP9qz4g,Nashville,MO,4.5,10
Venus Luxury Spa,Medical spa,"36.1092594, -86.8148556",114,O5fWkqGbJQsfvkSKppuL6g,Nashville,MO,2.5,106
Venus Luxury Spa,Medical spa,"36.1092594, -86.8148556",114,QhI1JSjGUOnegpB1_QFLRA,Nashville,CA,4.0,52
Venus Luxury Spa,Medical spa,"36.1092594, -86.8148556",114,c5vToRxz_e8DNV2oD3xzog,Nashville,FL,3.0,89
Villa convento,Lodge,"29.9510658, -90.0715323",2,x7_p5O3ChQa7shdHCcLHZQ,New Orleans,TN,3.5,172
Villa convento,Lodge,"29.9510658, -90.0715323",2,RcR5l22cvu7kVqVfKWqXJg,New Orleans,AB,1.0,5
Villa convento,Lodge,"29.9510658, -90.0715323",2,bLoVtSWMVIBwCMDJViODVA,New Orleans,AB,3.5,6
Villa convento,Lodge,"29.9510658, -90.0715323",2,uO8g64dZZNnvO1zp2fSolA,New Orleans,PA,5.0,7
Villa convento,Lodge,"29.9510658, -90.0715323",2,2F7SSas3Yo0vjwaE9yjyxg,New Orleans,PA,4.5,10
Villa convento,Lodge,"29.9510658, -90.0715323",2,buF4ZK9Eu6rAjEsaQ65tYw,New Orleans,FL,4.5,18
Villa convento,Lodge,"29.9510658, -90.0715323",2,nwaOWuO_EjAUHULKvm1z2Q,New Orleans,PA,5.0,5
Villa convento,Lodge,"29.9510658, -90.0715323",2,3q9-zixznvM6aj8XKYd6lg,New Orleans,FL,3.0,51
Villa convento,Lodge,"29.9510658, -90.0715323",2,PFeVlhso2xKO_qA3_8IZ1Q,New Orleans,NV,2.5,28
Villa convento,Lodge,"29.9510658, -90.0715323",2,YyB5cJ19ACiOd5-qRnoUWA,New Orleans,IN,4.5,8
Villa convento,Lodge,"29.9510658, -90.0715323",2,I_Q_i6ykkbLsOu3TSPhdzQ,New Orleans,DE,1.0,8
Villa convento,Lodge,"29.9510658, -90.0715323",2,uJITgt5t7j-KpDChsXPV5w,New Orleans,PA,3.0,33
